row,timestamp,site,input_bytes,output_bytes
0,146773800,apple.com,4986953955.0,5778053031.0
1,146774100,netflix.com,5420279952.0,9346737381.0
2,146774100,"Drive, Google",194764866.0,4116893931.0
3,146774100,mail.google.com,411307380.0,6226850616.0
4,146774100,flights.google.com,2254462316.0,7555979623.0
5,146774100,mail.google.com,9984251248.0,9691910574.0
6,146774100,plus.google.com,6517835460.0,771678821.0
7,146774100,google.com,1284389133.0,2925885773.0
8,146774100,"Drive, Google",2978793141.0,602229889.0
9,146774100,twitter.com,2567657526.0,6283042875.0
10,146774100,66.220.158.68,9493903602.0,7077713462.0
11,146774100,flights.google.com,8260833668.0,2708384692.0
12,146774100,google.com,7174012348.0,1168175202.0
13,146774100,youtube.com,6920048827.0,4920724889.0
14,146774100,"Drive, Google",478602818.0,2146534839.0
15,146774100,instagram.com,4211416045.0,1267035757.0
16,146774100,amazon.com,171022751.0,
17,146774100,wolframalpha.com,7674242211.0,7908546028.0
18,146774100,flights.google.com,2741939458.0,516064933.0
19,146774100,wolframalpha.com,3998532462.0,8773913336.0
20,146774400,instagram.com,8070966652.0,7986208441.0
21,146774400,facebook.com,4191885083.0,4230352115.0
22,146774400,amazon.com,626558875.0,6683985250.0
23,146774400,twitter.com,9766454272.0,2298204967.0
24,146774400,bing.com,2745533849.0,3064348738.0
25,146774400,mail.google.com,8669614920.0,4152836106.0
26,146774400,amazon.com,7428611257.0,6592393051.0
27,146774400,docs.google.com,2884720025.0,6241165185.0
28,146774400,apple.com,7347085855.0,9743454204.0
29,146774400,flights.google.com,3802979430.0,9672314792.0
30,146774400,flights.google.com,2069606504.0,2525203652.0
31,146774400,172.217.19.142,351285901.0,167720716.0
32,146774400,ebay.com,7923659894.0,4238499754.0
33,146774400,flights.google.com,6378337619.0,3473946768.0
34,146774400,google.com,6670675528.0,4067520778.0
35,146774400,twitter.com,2257848844.0,5440137504.0
36,146774400,46.137.88.216,8724991578.0,6260606701.0
37,146774400,172.217.19.142,4841964484.0,7693760374.0
38,146774400,mail.google.com,633331678.0,4666432915.0
39,146774400,bing.com,2661594966.0,6587777317.0
40,146774700,plus.google.com,395704961.0,5357369948.0
41,146774700,docs.google.com,9357526149.0,3473590694.0
42,146774700,wolframalpha.com,,3424611519.0
43,146774700,plus.google.com,4169531644.0,7540211535.0
44,146774700,flights.google.com,7106953586.0,890317407.0
45,146774700,mail.google.com,7052771074.0,7544347560.0
46,146774700,mail.google.com,4291668856.0,6485393730.0
47,146774700,flights.google.com,7894608134.0,1985478887.0
48,146774700,calendar.google.com,6160306323.0,5028355617.0
49,146774700,docs.google.com,5118254530.0,4720375714.0
50,146774700,amazon.com,2775754072.0,3780916579.0
51,146774700,calendar.google.com,5529107187.0,4469876064.0
52,146774700,docs.google.com,3707739854.0,83324651.0
53,146774700,"Drive, Google",3655224378.0,4130468601.0
54,146774700,172.217.19.142,3379722202.0,6522143783.0
55,146774700,calendar.google.com,380517885.0,4031026371.0
56,146774700,plus.google.com,2211860828.0,6044333525.0
57,146774700,46.137.88.216,387198583.0,2122806066.0
58,146774700,calendar.google.com,7700147592.0,1817012440.0
59,146774700,"Drive, Google",4470639470.0,332768394.0
60,146775000,172.217.19.142,2253964377.0,4452156748.0
61,146775000,calendar.google.com,4317318951.0,2794300777.0
62,146775000,docs.google.com,2954837723.0,8411987110.0
63,146775000,plus.google.com,219451393.0,325124271.0
64,146775000,mail.google.com,9181162978.0,6258262140.0
65,146775000,docs.google.com,2095278948.0,1409294793.0
66,146775000,docs.google.com,6403686825.0,952652075.0
